ev_id,ev_type,regis_no,ntsb_no,ev_date,ev_time,ev_city,ev_country,latitude,longitude,acft_category,acft_make,acft_model,num_eng,DAMAGE,flight_type,afm_hrs,date_last_insp,afm_hrs_last_insp,light_condition,wmc,gust_ind,on_ground_collision,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,ev_highest_injury,flight_phase,defining_event,survivors_b,pilot_flight_time_model,pilot_flight_time_total,pilot_flight_time_categ,SOURCE
20080220X00213,Accident,N248DW,LAX08CA048,19/01/2008,2100,Vacaville,USA,382240N,1215742W,Airplane,Waltermire,Glastar,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,T,,,,,0,1,1,0,2,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080130X00124,Accident,N4008V,LAX08FA049,20/01/2008,2334,Corona,USA,335256N,0117373W,Airplane,CESSNA,150M,1,Destroyed,Personal,10890.0,2008-12-02 00:00:00,,Day,Visual Meteorological Cond,T,N,1,,,4,0,0,0,5,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080130X00124,Accident,N737EJ,LAX08FA049,20/01/2008,2334,Corona,USA,335256N,0117373W,Airplane,CESSNA,172N,1,Destroyed,Personal,3576.0,2007-09-27 00:00:00,95.0,Day,Visual Meteorological Cond,T,N,1,,,4,0,0,0,5,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080122X00084,Accident,SU-ZAA,DCA08WA030,15/01/2008,1120,Port Said,EG,,,Airplane,Beech,C90B,,Destroyed,,,,,,Visual Meteorological Cond,F,,,,,2,0,0,0,2,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080122X00086,Accident,D2-FKK,DCA08WA031,19/01/2008,732,Huambo,AO,012466S,0155418E,Airplane,Beech,200,,Destroyed,,,,,,Instrument Meteorological Cond,F,,,,,13,0,0,0,13,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080122X00082,Accident,N617MZ,CHI08LA067,12/01/2008,1838,Garrison,USA,461917N,0935025W,Airplane,Ziermann,RV8,1,Substantial,Personal,279.5,2007-10-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,0,1,1,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080122X00088,Incident,N733TW,CHI08IA065,08/01/2008,2345,Lincoln,USA,040515N,0964555W,Airplane,Boeing,737-2H4,2,,,71959.0,2007-11-01 00:00:00,,Night,Visual Meteorological Cond,F,,,,,0,0,38,0,38,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080411X00456,Incident,N41NE,ANC08IA033,18/01/2008,1645,Dutch Harbor,USA,535425N,1663257W,Airplane,Fairchild,SA227-AC,2,,,36207.0,2008-01-01 00:00:00,,Day,Visual Meteorological Cond,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080125X00103,Accident,N349NB,CHI08LA071,09/01/2008,1249,Detroit,USA,421245N,0832112W,Airplane,Airbus Industrie,A319-114,2,Substantial,,15029.0,2007-07-01 00:00:00,317.0,Day,Visual Meteorological Cond,T,,,,,0,0,73,0,73,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080324X00374,Accident,N87R,SEA08LA067,25/01/2008,2000,Hollister,USA,036540N,0121252W,Glider,Schweizer,SGS 2-32,,Substantial,Instructional,,,,Day,Visual Meteorological Cond,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080210X00161,Accident,N1939T,NYC08LA086,25/01/2008,1610,York,USA,035155N,0811510W,Airplane,PIPER,PA-28-R200,1,Substantial,Personal,3329.0,2007-08-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,2,0,0,2,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080214X00188,Accident,N51367,MIA08CA047,28/01/2008,1615,Dawson,USA,314435N,0084259W,Airplane,Cessna,150J,1,Substantial,Instructional,6528.0,2007-08-01 00:00:00,28.0,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080210X00160,Accident,N75474,NYC08LA087,27/01/2008,2230,McCullough,USA,031100N,0873130W,Airplane,Unknown,Free Bird Sportlite,1,Destroyed,Personal,,,,Day,Visual Meteorological Cond,T,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080514X00667,Incident,N462UA,DCA08IA033,25/01/2008,1445,Newark,USA,404123N,0741028W,Airplane,Airbus,A320,2,,,27021.0,,,Day,Visual Meteorological Cond,F,,,,,0,0,107,0,107,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080207X00144,Accident,N2326Y,DEN08WA052,23/01/2008,1032,Cherbourg,FR,049448N,0001316W,Airplane,Beech,58P,,Substantial,Personal,,,,,Visual Meteorological Cond,F,,,,,2,0,0,1,3,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080129X00115,Accident,N31559,DEN08LA053,26/01/2008,1930,Valley Center,USA,374957N,0972212W,Airplane,Phillips,Flite Bike,1,Substantial,Personal,79.0,2008-01-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,0,1,1,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080129X00116,Accident,N142TT,DEN08LA054,24/01/2008,2320,Rock Springs,USA,415649N,0108586W,Airplane,MacAdams,Titan Tornado 912,1,Substantial,Personal,38.0,2007-08-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080205X00136,Accident,N1053F,DFW08LA058,28/01/2008,1315,Wiggins,USA,304831N,0891129W,Airplane,PIPER,PA32-301FT,1,Substantial,Personal,230.0,2007-01-07 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080317X00317,Accident,N743L,DFW08CA059,27/01/2008,1800,Sheffield,USA,030260N,0101490W,Airplane,Piper,PA-18-150,1,Substantial,Other Work Use,,,,Day,Visual Meteorological Cond,F,,,,,0,0,0,1,1,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080305X00268,Accident,N55F,NYC08CA088,30/01/2008,515,Charlotte,USA,351250N,0805635W,Airplane,"Bombardier, Inc.",35A,2,Substantial,,26320.0,2007-12-01 00:00:00,61.0,Night,Visual Meteorological Cond,T,Y,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080207X00148,Accident,N21A,MIA08LA048,29/01/2008,2223,Marathon,USA,245229N,0811348W,Airplane,GRUMMAN,G-21A,2,Substantial,Personal,24456.0,2007-04-01 00:00:00,38.0,Day,Visual Meteorological Cond,T,,,,,0,0,0,2,2,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080212X00178,Incident,N624AA,ENG08IA011,31/01/2008,122,West Palm Beach,USA,264059N,0080544W,Airplane,Boeing,B757-200,,Minor,,,,,Night,Visual Meteorological Cond,T,,,,,0,6,140,0,146,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080312X00303,Accident,N1847,MIA08CA049,30/01/2008,2105,Jefferson,USA,341019N,0833338W,Airplane,Airborne,Redback,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,T,,,,,0,0,0,1,1,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080318X00326,Accident,N211US,MIA08CA050,31/01/2008,2020,Stafford,USA,382353N,0772720W,Airplane,AirIndus,Thorpedo T211,1,Substantial,Personal,410.0,2007-12-01 00:00:00,410.0,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080211X00169,Accident,N57WR,NYC08MA090,01/02/2008,1628,Mount Airy,USA,362748N,0080333W,Airplane,RAYTHEON AIRCRAFT COMPANY,C90A,2,Substantial,Personal,800.0,2007-11-09 00:00:00,,Day,Instrument Meteorological Cond,F,,,,,6,0,0,0,6,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080201X00130,Accident,N705JJ,LAX08FA052,26/01/2008,657,Los Angeles,USA,335645N,1181647W,Helicopter,ROBINSON HELICOPTER,R22 BETA,1,Destroyed,Personal,420.0,2008-01-20 00:00:00,15.8999996185303,Night,Visual Meteorological Cond,T,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080211X00172,Accident,N102PT,MIA08MA051,01/02/2008,2248,West Gardiner,USA,441415N,0069516W,Airplane,CESSNA,525,2,Destroyed,Personal,1649.0,2007-11-14 00:00:00,1649.0,Night/Dark,Instrument Meteorological Cond,T,,,,,2,0,0,0,2,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080305X00264,Accident,N97GK,NYC08CA092,03/02/2008,1330,Fruitland Park,USA,285241N,0815627W,Airplane,Kral,Series 5 Kitfox,1,Destroyed,Personal,179.0,2007-08-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,1,0,0,1,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080330X00398,Accident,N3RP,NYC08LA091,01/02/2008,2042,Ft. Lauderdale,USA,261154N,0801048W,Airplane,North American Rockwell Corp.,NA-265-80,2,Substantial,Ferry,5825.0,2008-01-31 00:00:00,,Day,Visual Meteorological Cond,F,Y,,1,,0,0,2,0,3,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080206X00142,Accident,N824BJ,DFW08FA060,02/02/2008,2313,Lindsay,USA,345126N,0973511W,Airplane,CIRRUS DESIGN CORP,SR22,1,Destroyed,Instructional,198.300003051758,2007-10-02 00:00:00,42.5999984741211,Day,Visual Meteorological Cond,T,,,,,2,0,0,0,2,FATL,calcular,calcular,F,0,0,calcular,POST_1982
